211815195406893057,TEAM 3,Orphanum,Henrik
148271429954174977,TEAM 5,Mareek,Johnny
219903206896041984,TEAM 2,Thomas the tank engine,QueryTriggerInteraction
539143422053842944,TEAM 2,BettinaWK,
165890548220035072,TEAM 3,Anordahl97,Adrian
164752653186760704,TEAM 5,JimmyJØ,
142340777387884544,TEAM 1,Zaap,Martin
540443178860281867,TEAM 4,Jaran.J.B,
199593722399162368,TEAM 4,Alex',
370182536757772288,TEAM 2,hermann,
481906766247100416,GENERAL,olga,
406931325459759114,TEAM 1,Robart,
539790517492514818,TEAM 5,TommyWiersdalen,
